Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Prosthecomicrobium,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3662,,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,KCLunmb-38-53,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Desulfitibacter,,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3680,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,midas_f_3680,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Eubacterium_xylanophilum_group,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Pseudobacteroides,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3695,,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,midas_f_3695,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3697,,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3701,,Bacteria,Caldiserica,Caldisericia,Caldisericales,LF045,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3711,,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3713,,Bacteria,Ca Fermentibacterota,Ca Fermentibacteria,midas_o_753,midas_f_3713,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3726,,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3746,,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3749,,Bacteria,Armatimonadetes,midas_c_216,midas_o_216,midas_f_216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3750,,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Salana,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3758,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3760,,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_3760,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3764,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3775,,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3776,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,TRA3-20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3777,,Bacteria,Patescibacteria,Microgenomatia,Ca Roizmanbacteria,midas_f_3777,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3780,,Bacteria,Firmicutes,Clostridia,D8A-2,midas_f_13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3793,,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,midas_f_3793,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3813,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Pseudochrobactrum,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3831,,Bacteria,Cyanobacteria,Sericytochromatia,midas_o_1421,midas_f_1572,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3838,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3842,,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,midas_f_3842,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3846,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,KD3-93,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3847,,Bacteria,Acidobacteria,Subgroup 21,midas_o_3847,midas_f_3847,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3857,,Bacteria,Patescibacteria,Microgenomatia,Ca Shapirobacteria,midas_f_3857,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_251,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3867,,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3888,,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3892,,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3907,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3910,,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3911,,Bacteria,Planctomycetes,OM190,midas_o_3911,midas_f_3911,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3926,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3943,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,midas_f_2010,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3946,,Bacteria,Firmicutes,Clostridia,B55-F-B-G02,midas_f_3498,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3949,,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,midas_f_3949,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3959,,Bacteria,Armatimonadetes,midas_c_216,midas_o_216,midas_f_216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Ruminococcaceae_UCG-002,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3969,,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_3970,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,ST-12K33,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__GWE2-42-42,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rs-E47 termite group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__WCHB1-32,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4028,,Bacteria,Patescibacteria,Gracilibacteria,midas_o_4028,midas_f_4028,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Methylobacter,,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Ruminococcaceae_UCG-012,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4042,,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4063,,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 cladeMarine group B,midas_f_918,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Reyranella,,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4089,,Bacteria,Planctomycetes,OM190,midas_o_2104,midas_f_2104,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Ruminofilibacter,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4101,,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4120,,Bacteria,Proteobacteria,Deltaproteobacteria,PB19,midas_f_2377,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4133,,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Piscicoccus,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4153,,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4156,,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Rhodopseudomonas,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4167,,Bacteria,Armatimonadetes,midas_c_216,midas_o_216,midas_f_216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4176,,Bacteria,Acidobacteria,Blastocatellia Subgroup 4,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4187,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4192,,Bacteria,Planctomycetes,OM190,midas_o_4192,midas_f_4192,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4194,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4210,,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,midas_f_2943,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4218,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4221,,Bacteria,Firmicutes,Clostridia,DTU014,midas_f_4221,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4241,,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 cladeMarine group B,midas_f_918,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4245,,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_4245,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4258,,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4282,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4292,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4299,,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4304,,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4306,,Bacteria,Firmicutes,Clostridia,DTU014,midas_f_4306,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4314,,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Turneriella,,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4324,,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,midas_f_55,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4325,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4351,,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4354,,Bacteria,Armatimonadetes,midas_c_216,midas_o_216,midas_f_216,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Mogibacterium,,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Thiobacillus,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4374,,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4375,,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4375,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4378,,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,MSB-3C8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4381,,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4383,,Bacteria,Actinobacteria,WCHB1-81,midas_o_765,midas_f_765,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4387,,Bacteria,Planctomycetes,Phycisphaerae,Pla1 lineage,midas_f_3438,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Tsukamurella,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4400,,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4419,,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_1469,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Corynebacterium_1,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4436,,Bacteria,Planctomycetes,vadinHA49,midas_o_4436,midas_f_4436,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4444,,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4452,,Bacteria,Proteobacteria,Deltaproteobacteria,PB19,midas_f_2377,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4458,,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4464,,Bacteria,Firmicutes,Clostridia,Clostridiales,TC1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4465,,Bacteria,Ca Fermentibacterota,Ca Fermentibacteria,midas_o_3047,midas_f_4465,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4467,,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4468,,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 cladeMarine group B,midas_f_2276,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4479,,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Ruminococcaceae_UCG-014,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4488,,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4498,,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4502,,Bacteria,Acidobacteria,Subgroup 22,midas_o_28,midas_f_4502,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Cellulomonas,,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Rhodococcus,,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4517,,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Polaromonas,,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4532,,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,midas_f_4532,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__midas_g_4538,,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Treponema,,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
