ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV1456,s__midas_s_1440,g__Pseudarcobacter,na,na,na,na,na
ASV560,s__midas_s_193,g__Brooklawnia,na,na,na,na,na
ASV656,,,na,na,na,na,na
ASV1495,,g__Aquabacterium,na,na,na,na,na
ASV1869,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV601,s__Zoogloea_ramigera,g__Zoogloea,na,na,na,na,neg
ASV1126,,g__midas_g_729,na,na,na,na,na
ASV422,s__midas_s_1164,g__Pseudoclavibacter,na,na,na,na,na
ASV912,s__midas_s_641,g__midas_g_641,na,na,na,na,na
ASV1981,s__midas_s_17398,g__midas_g_17398,na,na,na,na,na
ASV905,s__midas_s_549,g__P3OB-42,na,na,na,na,na
ASV1202,s__midas_s_5045,g__Shinella,na,na,na,na,na
ASV1109,s__Uruburuella_suis,g__Uruburuella,na,na,na,na,na
ASV1937,,g__Paracoccus,na,na,neg,na,neg
ASV142,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV2112,s__midas_s_471,g__Ca_Villigracilis,na,na,na,na,pos
ASV1580,s__midas_s_2881,g__oc32,na,na,na,na,na
ASV2775,s__midas_s_3236,g__midas_g_201,na,na,na,na,na
ASV720,s__midas_s_663,g__IMCC26207,na,na,na,na,na
ASV3288,,g__OLB8,na,na,na,na,na
ASV906,s__midas_s_206,g__midas_g_206,na,na,na,na,na
ASV1340,s__midas_s_742,g__midas_g_422,na,na,na,na,na
ASV2357,s__midas_s_1835,g__Frigoribacterium,na,na,na,na,na
ASV294,,,na,na,na,na,na
ASV690,s__midas_s_184,g__midas_g_184,na,na,na,na,na
ASV2183,s__midas_s_2878,g__Pajaroellobacter,na,na,na,na,na
ASV1371,s__midas_s_1208,g__midas_g_1061,na,na,na,na,na
ASV860,s__Ca_Defluviicoccus_seviourii,g__Defluviicoccus,neg,neg,neg,pos,var
ASV1473,s__midas_s_681,g__midas_g_681,na,na,na,na,na
ASV712,s__midas_s_34,g__Romboutsia,na,na,na,na,neg
ASV911,s__midas_s_3198,g__Luteitalea,na,na,na,na,na
ASV1486,s__Ruminococcus_bromii,g__Ruminococcus,na,na,na,na,na
ASV3008,s__midas_s_62607,g__Leptothrix,na,na,na,na,var
ASV3736,s__midas_s_15738,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV1082,,g__Sulfuritalea,na,na,na,na,neg
ASV1824,s__midas_s_1386,g__Leptospira,na,na,na,na,na
ASV1481,s__midas_s_172,g__Haliangium,na,na,na,na,neg
ASV1465,s__midas_s_1233,g__midas_g_385,na,na,na,na,na
ASV1586,s__midas_s_14500,g__Erysipelotrichaceae_UCG-003,na,na,na,na,na
ASV1751,s__midas_s_2033,g__Vitreoscilla,na,na,na,na,na
ASV18141,s__midas_s_82132,g__midas_g_82132,na,na,na,na,na
ASV764,s__midas_s_101,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV7641,s__midas_s_19384,g__midas_g_14005,na,na,na,na,na
ASV939,s__midas_s_1453,g__Devosia,na,na,na,na,na
ASV734,,g__JGI_0001001-H03,na,na,na,na,na
ASV559,,g__Sphaerotilus,na,na,na,na,var
ASV687,,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV8914,s__midas_s_81508,g__Uruburuella,na,na,na,na,na
ASV1619,s__Anaerostipes_hadrus,g__Anaerostipes,na,na,na,na,var
ASV1282,s__midas_s_16660,g__midas_g_16660,na,na,na,na,na
ASV1153,s__midas_s_380,g__midas_g_380,na,na,na,na,na
ASV1710,,g__Paracoccus,na,na,neg,na,neg
ASV3522,s__midas_s_9425,g__Xanthobacter,na,na,na,na,na
ASV1910,s__midas_s_2759,g__midas_g_2759,na,na,na,na,na
ASV3949,s__midas_s_2680,g__midas_g_2680,na,na,na,na,na
ASV2316,s__midas_s_5391,g__midas_g_5391,na,na,na,na,na
ASV1193,s__midas_s_14162,g__Lactococcus,na,na,na,na,var
ASV737,s__midas_s_31440,g__Ellin6067,na,na,na,na,na
ASV1192,s__midas_s_1535,g__midas_g_424,na,na,na,na,na
ASV739,s__midas_s_268,g__midas_g_268,na,na,na,na,na
ASV1399,s__midas_s_2153,g__midas_g_1194,na,na,na,na,na
ASV771,s__Ca_Accumulibacter_aalborgensis,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV674,s__midas_s_1299,g__Nitrosomonas,pos,neg,na,na,neg
ASV3347,s__midas_s_6140,g__midas_g_6140,na,na,na,na,na
ASV2346,,g__midas_g_2835,na,na,na,na,na
ASV419,s__midas_s_965,g__Micropruina,na,na,neg,pos,neg
ASV1884,s__midas_s_2033,g__Vitreoscilla,na,na,na,na,na
ASV535,s__midas_s_1025,g__Proteiniclasticum,na,na,na,na,neg
ASV2122,s__midas_s_4774,g__midas_g_4774,na,na,na,na,na
ASV730,,g__OLB8,na,na,na,na,na
ASV1096,s__midas_s_1420,g__Longivirga,na,na,na,na,na
ASV2308,s__midas_s_884,g__Leptothrix,na,na,na,na,var
ASV1349,s__midas_s_22181,g__Pseudoxanthomonas,na,na,na,na,na
ASV9593,,g__Thermomonas,na,na,na,na,neg
ASV1509,s__midas_s_10162,g__midas_g_10162,na,na,na,na,na
ASV1190,s__midas_s_1477,g__midas_g_1477,na,na,na,na,na
ASV3975,s__Streptococcus_parauberis,g__Streptococcus,na,na,na,na,var
ASV1217,s__midas_s_2907,g__Leptotrichia,na,na,na,na,var
ASV2184,s__Luteococcus_japonicus,g__Luteococcus,na,na,na,na,na
ASV3671,,,na,na,na,na,na
ASV7706,,,na,na,na,na,na
ASV800,s__Ca_Propionivibrio_aalborgensis,g__Propionivibrio,neg,neg,neg,pos,neg
ASV1370,,g__Limnohabitans,na,na,na,na,neg
ASV1253,s__Flavobacterium_succinicans,g__Flavobacterium,na,na,na,na,var
ASV340,s__midas_s_1080,g__Zoogloea,na,na,na,na,neg
ASV493,,g__Terrisporobacter,na,na,na,na,neg
ASV1421,s__midas_s_3838,g__midas_g_3838,na,na,na,na,na
ASV1008,s__Aquihabitans_daechungensis,g__Iamia,na,na,na,na,neg
ASV2401,s__midas_s_7023,g__midas_g_2835,na,na,na,na,na
ASV1329,s__midas_s_1668,g__midas_g_1668,na,na,na,na,na
ASV1469,s__Lactococcus_raffinolactis,g__Lactococcus,na,na,na,na,var
ASV1764,s__midas_s_1964,g__Limnobacter,na,na,na,na,neg
ASV489,s__midas_s_6364,g__midas_g_4375,na,na,na,na,na
ASV1534,s__midas_s_1034,g__Nocardioides,na,na,na,na,var
ASV2144,s__midas_s_2320,g__OLB8,na,na,na,na,na
ASV2351,s__midas_s_1040,g__midas_g_1040,na,na,na,na,na
ASV3541,s__midas_s_4865,g__midas_g_4865,na,na,na,na,na
ASV2471,s__Prosthecomicrobium_hirschii,g__Prosthecomicrobium,na,na,na,na,na
ASV2228,,g__Vitreoscilla,na,na,na,na,na
ASV4197,s__midas_s_4408,g__Lewinella,na,na,na,na,pos
ASV902,s__midas_s_1730,g__midas_g_343,na,na,na,na,na
ASV7221,s__midas_s_2305,g__midas_g_2305,na,na,na,na,na
ASV1792,s__midas_s_12410,g__TM7a,na,na,na,na,na
ASV1686,,g__Flavobacterium,na,na,na,na,var
ASV4433,s__Prevotella_copri,g__Prevotella,na,na,na,na,var
ASV2396,s__Dorea_formicigenerans,g__Dorea,na,na,na,na,var
ASV165,s__midas_s_601,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV2674,s__midas_s_3718,g__midas_g_67,na,na,na,na,na
ASV1496,s__midas_s_1355,g__Pseudorhodobacter,na,na,na,na,neg
ASV836,,g__Hyphomicrobium,na,na,na,na,neg
ASV1602,s__midas_s_2460,g__midas_g_2460,na,na,na,na,na
ASV2503,s__midas_s_69562,g__Chiayiivirga,na,na,na,na,na
ASV3782,s__midas_s_24212,g__midas_g_1268,na,na,na,na,na
ASV1767,s__midas_s_5729,g__Defluviimonas,na,na,na,na,neg
ASV176,s__midas_s_143,g__Marmoricola,na,na,na,na,na
ASV802,,g__Mesorhizobium,na,na,na,na,na
ASV1140,,g__Hyphomicrobium,na,na,na,na,neg
ASV7981,,,na,na,na,na,na
ASV1273,s__midas_s_2665,g__midas_g_1951,na,na,na,na,na
ASV696,s__midas_s_1146,g__midas_g_300,na,na,na,na,na
ASV2032,s__midas_s_9487,g__midas_g_8915,na,na,na,na,na
ASV1331,s__midas_s_1355,g__Pseudorhodobacter,na,na,na,na,neg
ASV2756,s__midas_s_4097,g__midas_g_2265,na,na,na,na,na
ASV5159,,g__Gemmobacter,na,na,na,na,na
ASV948,,,na,na,na,na,na
ASV932,,g__Romboutsia,na,na,na,na,neg
ASV10623,s__midas_s_76214,g__midas_g_76214,na,na,na,na,na
ASV1712,s__midas_s_1886,g__midas_g_1083,na,na,na,na,na
ASV2976,s__midas_s_15502,g__midas_g_15502,na,na,na,na,na
ASV1068,,g__Ferruginibacter,na,na,na,na,neg
ASV1289,,,na,na,na,na,na
ASV1505,,,na,na,na,na,na
ASV6366,s__Sphingobium_subterraneum,g__Sphingobium,na,na,na,na,na
ASV2232,s__midas_s_33334,g__Paracoccus,na,na,neg,na,neg
ASV631,s__midas_s_291,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV3001,,g__Devosia,na,na,na,na,na
ASV826,s__midas_s_1171,g__midas_g_843,na,na,na,na,na
ASV608,s__midas_s_168,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV634,,g__midas_g_57,na,na,na,na,na
ASV845,s__midas_s_1112,g__Subgroup_10,na,na,na,na,na
ASV3188,s__Ca_Accumulibacter_phosphatis,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV2212,s__midas_s_2753,g__Ottowia,na,na,na,na,na
ASV1381,,g__Pseudoxanthomonas,na,na,na,na,na
ASV2558,,g__Chryseobacterium,na,na,na,na,var
ASV105916,s__midas_s_135,g__Lautropia,na,na,na,na,neg
ASV780,s__midas_s_957,g__midas_g_957,na,na,na,na,na
ASV1718,s__midas_s_6664,g__Ca_Villigracilis,na,na,na,na,pos
ASV1360,s__midas_s_390,g__Terrimonas,na,na,na,na,neg
ASV1000,,g__midas_g_100,na,na,na,na,na
ASV1773,s__midas_s_739,g__midas_g_739,na,na,na,na,na
ASV788,,,na,na,na,na,na
ASV1085,s__midas_s_725,g__midas_g_724,na,na,na,na,na
ASV521,s__midas_s_1005,g__midas_g_1005,na,na,na,na,na
ASV748,s__Ca_Contendobacter_odensis,g__Ca_Contendobacter,neg,neg,neg,pos,neg
ASV913,s__midas_s_1341,g__midas_g_1341,na,na,na,na,na
ASV6336,s__midas_s_20985,g__TM7a,na,na,na,na,na
ASV1991,s__midas_s_3536,g__midas_g_225,na,na,na,na,na
ASV995,,,na,na,na,na,na
ASV2125,,g__Phreatobacter,na,na,na,na,neg
ASV1706,,g__Thauera,na,na,neg,na,neg
ASV2097,s__midas_s_1032,g__Ferruginibacter,na,na,na,na,neg
ASV615,s__midas_s_584,g__midas_g_120,na,na,na,na,na
ASV492,,g__Pseudorhodobacter,na,na,na,na,neg
ASV3248,s__midas_s_37119,g__midas_g_37119,na,na,na,na,na
ASV1494,s__midas_s_3760,g__midas_g_3760,na,na,na,na,na
ASV1707,,g__Azospira,na,na,na,na,na
ASV4861,s__midas_s_18358,g__Phaselicystis,na,na,na,na,na
ASV2017,s__midas_s_2842,g__midas_g_2842,na,na,na,na,na
ASV1950,,g__Flavobacterium,na,na,na,na,var
ASV1283,s__midas_s_3088,g__Ca_Villigracilis,na,na,na,na,pos
ASV1963,,g__Amaricoccus,na,na,neg,neg,neg
ASV1499,,g__Flavobacterium,na,na,na,na,var
ASV1099,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV5067,s__midas_s_4455,g__Ca_Paracaedibacter,na,na,na,na,na
ASV1395,s__midas_s_2446,g__midas_g_2400,na,na,na,na,na
ASV986,s__midas_s_1184,g__midas_g_1184,na,na,na,na,na
ASV2083,s__midas_s_11265,g__TM7a,na,na,na,na,na
ASV1716,s__midas_s_2363,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,na,na,na,na,na
ASV2325,s__midas_s_939,g__Hyphomicrobium,na,na,na,na,neg
ASV5320,s__midas_s_12054,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV1074,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV338,s__midas_s_443,g__Geothrix,na,na,na,na,neg
ASV962,s__midas_s_1270,g__Pedomicrobium,na,na,na,na,neg
ASV947,,g__midas_g_558,na,na,na,na,na
ASV2294,s__midas_s_729,g__midas_g_729,na,na,na,na,na
ASV1565,,g__Rhodoferax,na,na,neg,na,neg
ASV1275,s__Tessaracoccus_flavescens,g__Tessaracoccus,na,na,na,na,neg
ASV12032,,g__midas_g_436,na,na,na,na,na
ASV1941,s__midas_s_2242,g__midas_g_1914,na,na,na,na,na
ASV1566,s__midas_s_27,g__BD1-7_clade,na,na,na,na,na
ASV48279,,g__Ca_Microthrix,neg,neg,neg,neg,pos
ASV1605,s__midas_s_51169,g__midas_g_51169,na,na,na,na,na
ASV10043,s__midas_s_17177,g__midas_g_67,na,na,na,na,na
ASV2791,,g__Arcobacter,na,na,na,na,neg
ASV3714,,g__Bacteroides,na,na,na,na,na
ASV1369,s__midas_s_2087,g__midas_g_2087,na,na,na,na,na
ASV2479,,g__Chryseobacterium,na,na,na,na,var
ASV396,s__midas_s_981,g__Ca_Contendobacter,neg,neg,neg,pos,neg
ASV3193,,g__Acidovorax,na,na,na,na,neg
ASV1708,s__midas_s_3270,g__midas_g_3270,na,na,na,na,na
ASV1584,s__midas_s_1730,g__midas_g_343,na,na,na,na,na
ASV2233,s__midas_s_2083,g__midas_g_940,na,na,na,na,na
ASV1354,s__midas_s_49,g__Propionicimonas,na,na,na,na,neg
ASV4344,,g__Flavobacterium,na,na,na,na,var
ASV3236,s__midas_s_1390,g__Lentimicrobium,na,na,na,na,na
ASV999,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV1903,s__midas_s_2705,g__Paludibacter,na,na,na,na,na
ASV1497,s__midas_s_1442,g__Chitinivorax,na,na,na,na,na
ASV3638,s__midas_s_27603,g__midas_g_15553,na,na,na,na,na
ASV1675,s__midas_s_5742,g__midas_g_4871,na,na,na,na,na
ASV2518,s__midas_s_2160,g__Flavobacterium,na,na,na,na,var
ASV3113,s__Dialister_invisus,g__Dialister,na,na,na,na,neg
ASV2301,s__midas_s_16848,g__TM7x,na,na,na,na,na
ASV701,s__midas_s_730,g__Sulfuritalea,na,na,na,na,neg
ASV10468,s__midas_s_17423,g__Dyadobacter,na,na,na,na,na
ASV2116,,g__Ottowia,na,na,na,na,na
ASV2202,,,na,na,na,na,na
ASV2773,s__midas_s_11287,g__midas_g_11287,na,na,na,na,na
ASV1810,s__midas_s_5193,g__Labrys,na,na,na,na,na
ASV990,,g__Ferruginibacter,na,na,na,na,neg
ASV1734,s__midas_s_2291,g__Lacunisphaera,na,na,na,na,na
ASV1188,s__midas_s_1184,g__midas_g_1184,na,na,na,na,na
ASV4671,s__midas_s_9186,g__Inquilinus,na,na,na,na,na
ASV922,s__midas_s_2322,g__midas_g_343,na,na,na,na,na
ASV2027,s__midas_s_3635,g__Sulfuritalea,na,na,na,na,neg
ASV1920,s__midas_s_15859,g__Holdemanella,na,na,na,na,var
ASV1947,s__midas_s_111,g__midas_g_111,na,na,na,na,na
ASV3398,s__midas_s_1698,g__OM27_clade,na,na,na,na,na
ASV1483,s__midas_s_2842,g__midas_g_2842,na,na,na,na,na
ASV476,s__midas_s_244,g__Novosphingobium,na,na,na,na,neg
ASV1777,,g__midas_g_273,na,na,na,na,na
ASV1079,s__midas_s_631,g__Pirellula,na,na,na,na,na
ASV543,s__midas_s_90,g__Terrimonas,na,na,na,na,neg
ASV5814,s__midas_s_14005,g__midas_g_14005,na,na,na,na,na
ASV1909,,g__Pseudarcobacter,na,na,na,na,na
ASV1990,s__midas_s_47778,g__midas_g_44976,na,na,na,na,na
ASV2602,s__midas_s_1955,g__midas_g_1955,na,na,na,na,na
ASV4116,,g__Flavobacterium,na,na,na,na,var
ASV584,s__midas_s_3347,g__midas_g_1341,na,na,na,na,na
ASV1741,,,na,na,na,na,na
ASV1912,s__midas_s_2606,g__Simplicispira,na,na,na,na,neg
ASV2208,s__midas_s_1922,g__midas_g_1922,na,na,na,na,na
ASV50322,,,na,na,na,na,na
ASV2563,s__midas_s_2126,g__midas_g_2126,na,na,na,na,na
ASV1840,s__midas_s_2430,g__midas_g_343,na,na,na,na,na
ASV1972,s__midas_s_3764,g__midas_g_3764,na,na,na,na,na
ASV1041,s__midas_s_2642,g__midas_g_2111,na,na,na,na,na
ASV661,,g__Rhizobacter,na,na,na,na,na
ASV3204,s__midas_s_15566,g__midas_g_10951,na,na,na,na,na
ASV2327,,g__Ca_Villigracilis,na,na,na,na,pos
ASV1407,s__midas_s_1820,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV2922,s__midas_s_1940,g__Ignavibacterium,na,na,na,na,na
ASV433,,g__Kouleothrix,na,na,neg,neg,pos
ASV1021,,g__Aminobacter,na,na,na,na,na
ASV5144,,,na,na,na,na,na
ASV1179,s__midas_s_1883,g__midas_g_1057,na,na,na,na,na
ASV1543,s__midas_s_1505,g__Pseudarcobacter,na,na,na,na,na
ASV838,s__midas_s_4210,g__midas_g_4210,na,na,na,na,na
ASV569,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV4892,s__midas_s_2478,g__midas_g_729,na,na,na,na,na
ASV3224,s__midas_s_5208,g__midas_g_399,na,na,na,na,na
ASV2692,s__midas_s_2645,g__Hydrogenophaga,na,na,na,na,na
ASV1695,s__midas_s_1636,g__Hyphomicrobium,na,na,na,na,neg
ASV1294,s__midas_s_6697,g__midas_g_6697,na,na,na,na,na
ASV1344,s__midas_s_193,g__Brooklawnia,na,na,na,na,na
ASV2450,,g__Mesorhizobium,na,na,na,na,na
ASV3606,s__midas_s_3892,g__midas_g_3892,na,na,na,na,na
ASV901,s__midas_s_1316,g__midas_g_343,na,na,na,na,na
newASV373,,g__Acidovorax,na,na,na,na,neg
ASV3755,s__Coprococcus_eutactus,g__Coprococcus,na,na,na,na,na
ASV580,s__midas_s_8400,g__Fervidobacterium,na,na,na,na,neg
ASV27232,,g__Lactobacillus,na,na,na,na,na
newASV561,,,na,na,na,na,na
ASV2550,s__midas_s_2874,g__Proteocatella,na,na,na,na,na
ASV327,s__midas_s_2882,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV1786,s__midas_s_2143,g__midas_g_2143,na,na,na,na,na
ASV2194,s__midas_s_1784,g__midas_g_945,na,na,na,na,na
ASV2738,,g__Cloacibacterium,na,na,na,na,var
ASV1720,s__midas_s_3306,g__Defluviicoccus,neg,neg,neg,pos,var
ASV4198,s__midas_s_48381,g__midas_g_1422,na,na,na,na,na
ASV2273,,g__Acetobacterium,na,na,na,na,na
ASV4145,s__Aquabacterium_parvum,g__Aquabacterium,na,na,na,na,na
ASV4020,s__midas_s_2726,g__Sterolibacterium,na,na,na,na,na
ASV789,s__midas_s_1194,g__midas_g_1194,na,na,na,na,na
ASV1520,,g__Hydrogenophaga,na,na,na,na,na
ASV2182,s__midas_s_2606,g__Simplicispira,na,na,na,na,neg
ASV310,s__midas_s_1201,g__Hyphomicrobium,na,na,na,na,neg
ASV2860,s__midas_s_9223,g__Ca_Villigracilis,na,na,na,na,pos
ASV331,s__midas_s_832,g__midas_g_832,na,na,na,na,na
ASV4336,,g__Acidovorax,na,na,na,na,neg
ASV2989,s__midas_s_172,g__Haliangium,na,na,na,na,neg
ASV1729,s__Arenimonas_subflava,g__Arenimonas,na,na,na,na,na
ASV3531,s__midas_s_23582,g__Paracoccus,na,na,neg,na,neg
ASV527,s__midas_s_663,g__IMCC26207,na,na,na,na,na
ASV3004,,g__Bosea,na,na,na,na,na
ASV4016,,g__midas_g_67,na,na,na,na,na
ASV2423,,g__Brevundimonas,na,na,na,na,na
ASV2104,,g__Simplicispira,na,na,na,na,neg
ASV565,s__midas_s_2082,g__Hyphomicrobium,na,na,na,na,neg
ASV6520,,g__Thermomonas,na,na,na,na,neg
ASV2170,s__midas_s_3536,g__midas_g_225,na,na,na,na,na
ASV2300,s__midas_s_2182,g__midas_g_1786,na,na,na,na,na
ASV1177,s__midas_s_2199,g__Luteococcus,na,na,na,na,na
ASV1247,,g__Blastocatella,na,na,na,na,var
ASV551,,,na,na,na,na,na
ASV2234,s__Lactococcus_raffinolactis,g__Lactococcus,na,na,na,na,var
ASV1878,s__midas_s_2342,g__midas_g_2342,na,na,na,na,na
ASV389,,g__midas_g_153,na,na,na,na,na
ASV843,s__midas_s_940,g__midas_g_940,na,na,na,na,na
ASV1164,s__Ca_Contendobacter_odensis,g__Ca_Contendobacter,neg,neg,neg,pos,neg
ASV989,s__midas_s_1376,g__Microbacterium,na,na,na,na,na
ASV4971,,g__Bosea,na,na,na,na,na
ASV1430,s__midas_s_595,g__midas_g_595,na,na,na,na,na
ASV2348,s__midas_s_1336,g__midas_g_1336,na,na,na,na,na
ASV2663,,,na,na,na,na,na
ASV1470,s__midas_s_10902,g__midas_g_10902,na,na,na,na,na
ASV2426,s__Lactococcus_raffinolactis,g__Lactococcus,na,na,na,na,var
ASV70289,s__midas_s_40100,g__Moheibacter,na,na,na,na,na
ASV438,s__midas_s_430,g__Rhodobacter,na,na,na,na,neg
ASV7197,s__midas_s_12444,g__midas_g_12444,na,na,na,na,na
ASV3015,s__midas_s_2255,g__Arcobacter,na,na,na,na,neg
ASV1184,s__midas_s_635,g__midas_g_635,na,na,na,na,na
ASV2265,s__midas_s_2532,g__midas_g_2532,na,na,na,na,na
ASV1944,s__midas_s_3097,g__Amaricoccus,na,na,neg,neg,neg
newASV336,,g__Acidovorax,na,na,na,na,neg
ASV2157,,g__Acidovorax,na,na,na,na,neg
ASV3710,s__midas_s_1390,g__Lentimicrobium,na,na,na,na,na
ASV1106,s__Zoogloea_oleivorans,g__Zoogloea,na,na,na,na,neg
ASV1540,s__midas_s_7717,g__midas_g_5463,na,na,na,na,na
ASV646,s__midas_s_523,g__midas_g_523,na,na,na,na,na
ASV1813,s__midas_s_11287,g__midas_g_11287,na,na,na,na,na
ASV1515,,g__Bradyrhizobium,na,na,na,na,neg
ASV1493,,g__midas_g_11143,na,na,na,na,na
ASV473,s__midas_s_164,g__midas_g_164,na,na,na,na,na
ASV1279,s__midas_s_2362,g__Ca_Ovatusbacter,na,na,na,na,na
ASV4757,s__midas_s_1356,g__Thauera,na,na,neg,na,neg
ASV3524,,g__midas_g_25963,na,na,na,na,na
ASV1077,,,na,na,na,na,na
ASV2764,s__Lactococcus_raffinolactis,g__Lactococcus,na,na,na,na,var
ASV2972,s__midas_s_3236,g__midas_g_201,na,na,na,na,na
ASV664,s__midas_s_2775,g__midas_g_2775,na,na,na,na,na
ASV2297,s__midas_s_1337,g__Peredibacter,na,na,na,na,na
ASV1967,s__midas_s_5742,g__midas_g_4871,na,na,na,na,na
ASV1372,,g__Chryseobacterium,na,na,na,na,var
ASV2077,s__Nakamurella_multipartita,g__Nakamurella,na,na,na,na,na
ASV234,s__midas_s_201,g__Geothrix,na,na,na,na,neg
ASV1248,,g__Thermomonas,na,na,na,na,neg
ASV1387,s__midas_s_6984,g__midas_g_6984,na,na,na,na,na
ASV39,s__midas_s_12,g__midas_g_12,na,na,na,na,na
ASV4093,s__midas_s_11340,g__midas_g_11340,na,na,na,na,na
ASV878,,g__Cereibacter,na,na,na,na,na
ASV1726,s__midas_s_2464,g__Defluviicoccus,neg,neg,neg,pos,var
ASV11701,s__midas_s_22405,g__midas_g_22405,na,na,na,na,na
ASV1238,s__midas_s_1445,g__SH-PL14,na,na,na,na,na
ASV1779,s__midas_s_4515,g__Rhodococcus,na,na,na,na,na
ASV1081,s__midas_s_59116,g__midas_g_41102,na,na,na,na,na
ASV4266,s__midas_s_17943,g__Ottowia,na,na,na,na,na
ASV1353,s__midas_s_1718,g__midas_g_547,na,na,na,na,na
ASV2760,s__Thauera_terpenica,g__Thauera,na,na,neg,na,neg
ASV2843,,g__midas_g_17497,na,na,na,na,na
ASV4207,s__midas_s_28815,g__midas_g_28815,na,na,na,na,na
ASV1440,s__midas_s_918,g__midas_g_918,na,na,na,na,na
ASV3222,s__midas_s_24463,g__Variovorax,na,na,na,na,na
ASV3330,s__midas_s_2627,g__Prevotella,na,na,na,na,var
ASV2736,s__midas_s_1582,g__Propioniciclava,na,na,na,na,neg
ASV3317,s__midas_s_4336,g__midas_g_729,na,na,na,na,na
ASV3423,,g__Vitreoscilla,na,na,na,na,na
ASV681,s__midas_s_1143,g__midas_g_201,na,na,na,na,na
ASV3862,s__midas_s_8544,g__midas_g_251,na,na,na,na,na
ASV460,s__midas_s_650,g__Hyphomicrobium,na,na,na,na,neg
ASV2412,s__midas_s_3798,g__Macellibacteroides,na,na,na,na,na
ASV3259,s__midas_s_13160,g__midas_g_1951,na,na,na,na,na
ASV831,,,na,na,na,na,na
ASV975,s__midas_s_356,g__midas_g_356,na,na,na,na,na
ASV2063,s__midas_s_2123,g__Proteiniclasticum,na,na,na,na,neg
ASV779,s__midas_s_2106,g__Gordonia,na,na,na,na,pos
ASV1918,s__midas_s_3218,g__midas_g_3218,na,na,na,na,na
ASV1677,,,na,na,na,na,na
ASV58,s__midas_s_988,g__Thermovirga,na,na,na,na,neg
ASV1064,s__midas_s_12444,g__midas_g_12444,na,na,na,na,na
ASV2130,s__midas_s_1032,g__Ferruginibacter,na,na,na,na,neg
ASV4533,s__midas_s_6496,g__midas_g_5391,na,na,na,na,na
ASV686,s__midas_s_345,g__Leptothrix,na,na,na,na,var
ASV1561,s__midas_s_72,g__midas_g_72,na,na,na,na,na
ASV11580,s__midas_s_96,g__Dechloromonas,na,na,var,neg,neg
ASV1002,s__midas_s_648,g__midas_g_648,na,na,na,na,na
ASV5392,,,na,na,na,na,na
ASV1672,s__midas_s_4300,g__midas_g_4300,na,na,na,na,na
ASV9798,s__midas_s_47499,g__Roseomonas,na,na,na,na,na
ASV4142,s__midas_s_10186,g__Flavobacterium,na,na,na,na,var
ASV1163,,g__Micropruina,na,na,neg,pos,neg
ASV2049,s__midas_s_25482,g__TM7a,na,na,na,na,na
ASV3626,s__midas_s_2430,g__midas_g_343,na,na,na,na,na
ASV3216,s__midas_s_7425,g__Flavobacterium,na,na,na,na,var
ASV1262,s__midas_s_4119,g__Microbacterium,na,na,na,na,na
ASV2706,s__midas_s_202,g__midas_g_81,na,na,na,na,na
ASV9984,s__midas_s_50158,g__midas_g_50158,na,na,na,na,na
ASV2065,,g__Phenylobacterium,na,na,na,na,na
ASV64,s__midas_s_141,g__midas_g_141,na,na,na,na,na
ASV3592,s__midas_s_1440,g__Pseudarcobacter,na,na,na,na,na
ASV1798,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV4298,s__midas_s_5046,g__midas_g_1533,na,na,na,na,na
ASV1526,s__midas_s_333,g__Aquabacterium,na,na,na,na,na
ASV2561,s__midas_s_5206,g__Macellibacteroides,na,na,na,na,na
ASV3640,s__midas_s_10891,g__Flavobacterium,na,na,na,na,var
ASV2637,s__midas_s_2493,g__midas_g_2493,na,na,na,na,na
ASV2957,s__midas_s_75555,g__Romboutsia,na,na,na,na,neg
ASV1243,s__midas_s_2674,g__Longivirga,na,na,na,na,na
ASV7271,,g__Prevotella,na,na,na,na,var
ASV3442,s__Sphaerotilus_natans,g__Sphaerotilus,na,na,na,na,var
ASV3927,s__Catenibacterium_mitsuokai,g__Catenibacterium,na,na,na,na,pos
ASV2782,s__midas_s_10902,g__midas_g_10902,na,na,na,na,na
ASV128,s__midas_s_28,g__Thermoanaerobaculum,na,na,na,na,na
